Operational State,0,0,0,0,2,2
Azimuth State,0,1,2,3,0,1
1,-,18.867,-,18.867,46.645,46.645
2,6.289,-,6.289,-,6.289,6.289
3,0,-,0,-,0,0
4,0,-,0,-,0,0
5,-,12.578,-,12.578,40.356,40.356
6,12.578,-,14.722,-,12.578,14.722
7,16.549,16.549,18.693,16.549,16.549,18.693
8,20.52,20.52,22.664,20.52,20.52,22.664
9,7.942,7.942,7.942,7.942,7.942,7.942
10,10.26,10.26,10.26,10.26,10.26,10.26
11,3.971,3.971,3.971,3.971,3.971,3.971
12,14.231,14.231,16.375,14.231,14.231,16.375
13,7.942,7.942,7.942,7.942,7.942,7.942
14,1.653,1.653,1.653,1.653,1.653,1.653
15,22.838,22.838,24.982,22.838,22.838,24.982
16,20.52,20.52,22.664,20.52,20.52,22.664
17,16.549,16.549,18.693,16.549,16.549,18.693
18,10.26,10.26,10.26,10.26,10.26,10.26
19,3.971,3.971,3.971,3.971,3.971,3.971
20,14.231,14.231,16.375,14.231,14.231,16.375
21,7.942,7.942,7.942,7.942,7.942,7.942
22,1.653,1.653,1.653,1.653,1.653,1.653
23,22.838,22.838,24.982,22.838,22.838,24.982
24,20.52,20.52,22.664,20.52,20.52,22.664
25,16.549,16.549,18.693,16.549,16.549,18.693
26,10.26,10.26,10.26,10.26,10.26,10.26
27,3.971,3.971,3.971,3.971,3.971,3.971
28,-,18.867,-,18.867,46.645,46.645
29,-,6.289,-,6.289,34.067,34.067
30,18.867,-,21.011,-,18.867,21.011
31,-,0,-,0,27.778,27.778
32,-,18.867,-,18.867,46.645,46.645
33,6.289,-,6.289,-,6.289,6.289
34,12.578,-,14.722,-,12.578,14.722
35,-,6.289,-,6.289,34.067,34.067
36,-,12.578,-,12.578,40.356,40.356
37,0,-,0,-,0,0
38,18.867,-,21.011,-,18.867,21.011
39,6.289,-,6.289,-,6.289,6.289
40,0,-,0,-,0,0
