laser_id,loop0_firetime,loop1_firetime
0,46.645,46.645
1,34.067,34.067
2,18.867,21.011
3,6.289,6.289
4,40.356,40.356
5,27.778,27.778
6,12.578,14.722
7,0.0,0.0
8,46.645,46.645
9,34.067,34.067
10,18.867,21.011
11,6.289,6.289
12,40.356,40.356
13,27.778,27.778
14,12.578,14.722
15,0.0,0.0
16,46.645,46.645
17,34.067,34.067
18,18.867,21.011
19,6.289,6.289
20,40.356,40.356
21,27.778,27.778
22,12.578,14.722
23,0.0,0.0
24,20.52,22.664
25,16.549,18.693
26,10.26,10.26
27,16.549,18.693
28,20.52,22.664
29,3.971,3.971
30,14.231,16.375
31,7.942,7.942
32,14.231,16.375
33,7.942,7.942
34,10.26,10.26
35,1.653,1.653
36,1.653,1.653
37,3.971,3.971
38,22.838,24.982
39,22.838,24.982
40,14.231,16.375
41,16.549,18.693
42,20.52,22.664
43,7.942,7.942
44,10.26,10.26
45,16.549,18.693
46,1.653,1.653
47,3.971,3.971
48,10.26,10.26
49,22.838,24.982
50,14.231,16.375
51,3.971,3.971
52,20.52,22.664
53,7.942,7.942
54,14.231,16.375
55,16.549,18.693
56,1.653,1.653
57,7.942,7.942
58,10.26,10.26
59,22.838,24.982
60,1.653,1.653
61,3.971,3.971
62,20.52,22.664
63,22.838,24.982
64,14.231,16.375
65,16.549,18.693
66,20.52,22.664
67,7.942,7.942
68,10.26,10.26
69,16.549,18.693
70,1.653,1.653
71,3.971,3.971
72,10.26,10.26
73,22.838,24.982
74,14.231,16.375
75,3.971,3.971
76,20.52,22.664
77,7.942,7.942
78,14.231,16.375
79,16.549,18.693
80,1.653,1.653
81,7.942,7.942
82,10.26,10.26
83,22.838,24.982
84,1.653,1.653
85,3.971,3.971
86,20.52,22.664
87,22.838,24.982
88,46.645,46.645
89,34.067,34.067
90,18.867,21.011
91,6.289,6.289
92,40.356,40.356
93,27.778,27.778
94,12.578,14.722
95,0.0,0.0
96,46.645,46.645
97,34.067,34.067
98,18.867,21.011
99,6.289,6.289
100,40.356,40.356
101,27.778,27.778
102,12.578,14.722
103,0.0,0.0
104,46.645,46.645
105,34.067,34.067
106,18.867,21.011
107,6.289,6.289
108,40.356,40.356
109,27.778,27.778
110,12.578,14.722
111,0.0,0.0
112,46.645,46.645
113,34.067,34.067
114,18.867,21.011
115,6.289,6.289
116,40.356,40.356
117,27.778,27.778
118,12.578,14.722
119,0.0,0.0
120,46.645,46.645
121,34.067,34.067
122,18.867,21.011
123,6.289,6.289
124,40.356,40.356
125,27.778,27.778
126,12.578,14.722
127,0.0,0.0
